telemetry_id,vehicle_id,timestamp,speed_kmh,charge_level,battery_temp,latitude,longitude,errors
52,40,2025-04-08 04:21:47,60.24,37.78,43.46,42.317584,-78.534517,overheat
53,8,2025-04-13 14:50:27,79.96,81.15,37.28,42.446308,-78.532042,overheat
54,32,2025-04-03 17:26:46,96.47,81.12,39.13,42.494229,-78.657356,
55,23,2025-04-05 07:35:40,90.49,62.95,33.89,42.393442,-78.841191,low_battery
56,17,2025-04-13 21:24:14,20.77,52.95,37.14,42.070948,-78.413465,overheat
57,20,2025-04-12 23:49:05,25.82,61.67,31.63,42.361625,-78.647446,overheat
58,8,2025-04-09 02:49:45,20.65,93.35,41.45,42.096787,-78.554229,low_battery
59,37,2025-04-07 13:06:03,98.82,88.28,37.32,42.410419,-78.485121,low_battery
60,9,2025-04-04 19:45:28,63.99,70.21,43.36,42.338277,-78.478168,overheat
61,6,2025-04-03 19:01:31,70.96,85.15,34.58,42.229794,-78.885056,overheat
62,44,2025-04-07 10:27:57,42.98,23.83,25.1,42.462794,-78.616998,overheat
63,48,2025-04-10 01:34:31,99.54,76.13,42.37,42.146862,-78.828684,
64,35,2025-04-14 09:15:25,41.92,88.88,39.29,42.061227,-78.741325,overheat
65,15,2025-04-14 01:22:46,34.3,34.64,30.02,42.048907,-78.785239,
66,43,2025-04-05 20:59:32,55.53,74.33,25.85,42.334109,-78.582151,
67,25,2025-04-02 00:00:09,31.5,53.72,44.74,42.300887,-78.52044,low_battery
68,1,2025-04-07 16:43:59,24.23,25.99,36.96,42.269117,-78.575322,overheat
69,14,2025-04-09 07:51:12,28.06,88.27,30.17,42.406658,-78.711715,low_battery
70,21,2025-04-03 09:13:54,28.68,96.74,39.58,42.031505,-78.823388,
71,5,2025-04-16 23:33:35,68.11,62.49,39.5,42.17348,-78.548599,low_battery
72,43,2025-04-11 14:19:06,24.88,37.71,28.86,42.331635,-78.475217,
73,7,2025-04-02 19:55:39,41.55,81.98,38.29,42.341721,-78.717085,
74,48,2025-04-05 14:00:52,88.12,70.5,26.41,42.494491,-78.570997,
75,36,2025-04-07 14:02:50,72.18,75.82,41.67,42.303245,-78.49425,low_battery
76,41,2025-04-05 23:43:48,41.3,85.78,32.1,42.045776,-78.617356,overheat
77,22,2025-04-10 10:57:48,76.4,83.51,26.04,42.155173,-78.80513,
78,49,2025-04-05 05:42:48,95.21,98.76,44.28,42.458797,-78.850293,low_battery
79,38,2025-04-03 09:29:07,55.51,61.5,44.77,42.450257,-78.848629,low_battery
80,39,2025-04-16 19:10:18,77.26,75.64,25.8,42.113366,-78.779492,overheat
81,31,2025-04-15 10:06:17,23.68,26.76,31.29,42.379903,-78.508364,overheat
82,13,2025-04-13 05:32:07,69.04,58.45,37.94,42.087575,-78.622201,overheat
83,7,2025-04-08 14:49:52,98.86,76.01,44.17,42.210247,-78.732199,overheat
84,9,2025-04-15 14:54:28,72.48,83.6,27.57,42.491855,-78.832884,
85,42,2025-04-06 11:21:12,78.19,81.51,43.48,42.448727,-78.8474,
86,39,2025-04-07 18:15:57,56.8,76.83,31.2,42.371179,-78.498052,overheat
87,34,2025-04-02 13:10:47,37.66,87.4,41.14,42.040663,-78.662464,
88,19,2025-04-05 16:28:53,30.1,46.95,43.92,42.238682,-78.433711,
89,26,2025-04-14 00:12:11,43.03,38.72,27.63,42.224734,-78.698332,
90,46,2025-04-08 21:20:45,60.66,65.58,37.21,42.101108,-78.81355,low_battery
91,50,2025-04-09 00:02:21,57.22,85.74,36.21,42.276575,-78.510967,overheat
92,25,2025-04-13 12:59:42,61.34,86.65,42.71,42.042147,-78.862631,overheat
93,12,2025-04-01 21:24:11,83.25,99.6,28.21,42.352614,-78.486783,low_battery
94,27,2025-04-16 10:35:54,47.15,29.54,43.9,42.438301,-78.475265,
95,16,2025-04-08 03:49:48,93.89,55.09,28.97,42.023519,-78.645857,
96,28,2025-04-15 19:36:37,49.59,68.51,36.38,42.001913,-78.627934,overheat
97,27,2025-04-09 09:25:46,25.14,29.1,28.28,42.369568,-78.751812,overheat
98,27,2025-04-01 07:59:04,36.43,58.25,40.66,42.3536,-78.612804,low_battery
99,8,2025-04-02 16:43:27,22.24,24.49,32.2,42.27612,-78.467157,low_battery
100,21,2025-04-01 15:42:04,69.6,33.68,30.5,42.002235,-78.588055,overheat
101,23,2025-04-13 00:54:39,63.14,50.11,37.97,42.156438,-78.556813,low_battery
102,27,2025-04-10 08:27:04,50.24,90.68,33.09,42.275886,-78.564559,low_battery
103,15,2025-04-10 13:20:57,84.41,23.9,42.71,42.292768,-78.677585,low_battery
104,35,2025-04-07 12:25:18,53.79,41.52,40.26,42.203308,-78.583364,low_battery
105,13,2025-04-10 20:27:32,85.44,52.43,29.03,42.213991,-78.404947,low_battery
106,11,2025-04-16 17:50:33,74.65,38.06,38.9,42.303628,-78.776641,
107,12,2025-04-05 02:10:43,66.73,84.66,32.89,42.272667,-78.743807,
108,34,2025-04-16 10:43:35,71.65,47.56,38.05,42.16307,-78.772649,overheat
109,2,2025-04-13 00:14:00,20.31,89.76,27.74,42.416244,-78.531392,overheat
110,31,2025-04-13 12:33:17,82.88,59.55,26.48,42.028051,-78.802409,low_battery
111,36,2025-04-09 20:06:37,68.45,99.27,38.97,42.143181,-78.815096,
112,22,2025-04-17 16:34:18,33.38,58.73,35.15,42.24714,-78.408327,overheat
113,49,2025-04-09 14:21:36,91.26,26.39,27.3,42.345301,-78.748854,
114,47,2025-04-08 15:53:01,35.19,41.05,29.16,42.000171,-78.641996,low_battery
115,45,2025-04-05 14:18:40,48.34,65.02,38.27,42.119945,-78.788976,
116,34,2025-04-07 17:24:51,66.18,64.92,39.13,42.323828,-78.804524,low_battery
117,15,2025-04-07 10:14:28,75.93,61.66,29.71,42.319434,-78.593868,low_battery
118,37,2025-04-03 00:10:06,25.6,31.55,34.47,42.023214,-78.778576,
119,7,2025-04-01 20:23:02,64.99,70.27,43.01,42.035081,-78.554601,overheat
120,6,2025-04-05 16:19:44,28.4,97.5,37.4,42.113173,-78.68456,
121,3,2025-04-10 21:08:49,36.56,85.57,35.04,42.185598,-78.546936,overheat
122,28,2025-04-12 04:53:57,91.87,87.18,30.42,42.487969,-78.789251,overheat
123,23,2025-04-07 18:15:38,98.16,98.84,32.0,42.228211,-78.775959,low_battery
124,36,2025-04-02 18:57:07,44.82,75.88,43.34,42.289641,-78.687538,
125,11,2025-04-17 07:45:04,73.83,87.92,38.89,42.067444,-78.494705,overheat
126,21,2025-04-15 21:02:58,93.71,63.68,34.42,42.161514,-78.763678,
127,24,2025-04-06 15:07:12,93.54,34.54,36.74,42.183434,-78.568051,low_battery
128,32,2025-04-09 15:21:33,93.69,98.65,33.7,42.169432,-78.74648,overheat
129,35,2025-04-17 20:33:56,42.05,83.18,35.76,42.077772,-78.870288,low_battery
130,34,2025-04-12 11:00:26,35.4,79.73,35.19,42.153693,-78.493069,low_battery
131,6,2025-04-01 04:04:12,29.0,60.58,32.18,42.401334,-78.866834,low_battery
132,36,2025-04-10 05:14:05,37.21,50.37,30.65,42.472638,-78.583697,low_battery
133,36,2025-04-08 05:03:32,64.74,38.37,32.38,42.06896,-78.792807,low_battery
134,13,2025-04-01 05:27:37,50.15,66.25,38.54,42.368871,-78.653743,
135,14,2025-04-14 10:43:22,99.23,40.94,31.91,42.397342,-78.450464,overheat
136,31,2025-04-13 04:22:58,40.84,86.05,31.93,42.344182,-78.523215,
137,43,2025-04-05 23:27:01,68.61,41.17,40.25,42.392309,-78.516871,
138,36,2025-04-12 16:31:23,54.63,98.33,40.46,42.423962,-78.511706,
139,26,2025-04-13 19:48:31,82.79,30.6,26.49,42.194953,-78.501075,low_battery
140,1,2025-04-17 11:54:01,86.92,94.99,27.98,42.38187,-78.546844,overheat
141,9,2025-04-15 13:28:36,97.32,37.61,30.85,42.295125,-78.880855,
142,8,2025-04-17 10:05:36,71.51,96.94,32.42,42.04783,-78.539869,
143,37,2025-04-04 18:02:17,62.51,60.63,34.62,42.119125,-78.785035,overheat
144,1,2025-04-11 05:11:37,32.8,73.27,29.38,42.293284,-78.885509,low_battery
145,20,2025-04-03 20:38:10,80.34,51.66,36.14,42.254866,-78.646956,overheat
146,33,2025-04-07 00:02:58,41.55,91.96,30.56,42.365465,-78.433791,overheat
147,40,2025-04-17 03:42:45,30.13,52.6,40.0,42.14656,-78.753918,low_battery
148,14,2025-04-02 13:21:06,94.1,43.43,37.17,42.294426,-78.67069,overheat
149,8,2025-04-10 01:37:23,48.27,95.89,30.33,42.439489,-78.707634,low_battery
150,39,2025-04-06 06:16:08,57.96,29.35,40.6,42.004457,-78.542441,low_battery
151,38,2025-04-13 11:13:10,64.75,56.52,36.85,42.313147,-78.401388,low_battery
152,50,2025-04-04 00:11:15,94.68,22.03,40.6,42.010374,-78.821901,low_battery
153,50,2025-04-10 20:39:55,81.07,58.22,41.9,42.170323,-78.884995,low_battery
154,1,2025-04-10 14:16:14,93.37,78.31,44.5,42.309751,-78.77039,overheat
155,37,2025-04-06 01:09:27,31.44,65.13,28.23,42.20918,-78.895737,low_battery
156,16,2025-04-04 10:04:59,90.4,67.73,25.21,42.015038,-78.566262,overheat
157,45,2025-04-04 23:06:37,28.77,44.11,36.79,42.103378,-78.808853,
158,14,2025-04-05 18:35:05,70.52,79.97,36.88,42.059625,-78.860973,low_battery
159,47,2025-04-03 09:46:53,43.0,74.6,44.19,42.432362,-78.652264,
160,9,2025-04-06 14:46:04,33.21,33.13,43.99,42.176161,-78.822774,
161,21,2025-04-12 07:17:43,26.8,49.96,40.39,42.194872,-78.878194,overheat
162,14,2025-04-10 04:21:21,70.34,21.54,37.85,42.375955,-78.667676,overheat
163,12,2025-04-03 00:19:11,39.98,62.62,44.78,42.436649,-78.741892,
164,23,2025-04-16 07:59:52,64.66,27.45,32.83,42.12982,-78.672426,overheat
165,28,2025-04-12 22:37:40,91.3,90.29,42.59,42.395146,-78.715553,overheat
166,12,2025-04-04 12:44:58,94.3,54.09,35.28,42.208922,-78.882667,
167,1,2025-04-07 15:55:49,84.28,90.02,35.86,42.231298,-78.412438,low_battery
168,8,2025-04-14 09:42:25,20.75,49.0,32.47,42.003244,-78.701183,low_battery
169,18,2025-04-16 05:11:28,60.74,91.6,40.45,42.367461,-78.718029,overheat
170,20,2025-04-07 03:44:37,63.19,36.48,42.94,42.232934,-78.659623,overheat
171,17,2025-04-01 12:23:13,30.09,98.09,35.98,42.343413,-78.461403,
172,39,2025-04-10 06:07:15,49.08,72.44,27.94,42.052284,-78.411477,low_battery
173,48,2025-04-17 07:33:01,92.57,28.31,36.06,42.264295,-78.674493,overheat
174,30,2025-04-13 23:03:49,62.43,21.78,41.28,42.406678,-78.634274,overheat
175,20,2025-04-04 13:42:48,47.3,32.3,40.35,42.366048,-78.598561,overheat
176,7,2025-04-08 11:46:08,81.8,73.73,41.78,42.222814,-78.683935,overheat
177,43,2025-04-09 01:50:56,69.85,49.26,35.16,42.448105,-78.716401,overheat
178,23,2025-04-05 04:25:19,54.84,83.25,35.26,42.393249,-78.642833,overheat
179,12,2025-04-13 18:31:36,73.77,97.88,37.45,42.013221,-78.594402,
180,38,2025-04-02 21:26:36,74.33,97.35,39.21,42.296315,-78.473056,overheat
181,48,2025-04-12 08:43:42,38.27,35.43,35.45,42.118362,-78.48383,low_battery
182,39,2025-04-14 22:43:37,83.05,80.02,32.58,42.343247,-78.89869,low_battery
183,34,2025-04-15 17:31:53,63.63,49.4,42.33,42.457762,-78.679651,
184,28,2025-04-04 23:32:38,50.96,79.75,38.81,42.289783,-78.594681,overheat
185,17,2025-04-05 00:28:42,57.06,86.61,44.74,42.422912,-78.437951,low_battery
186,3,2025-04-11 20:03:09,79.54,29.21,27.34,42.479441,-78.888723,
187,27,2025-04-12 04:54:41,40.5,42.31,42.52,42.337055,-78.612519,overheat
188,21,2025-04-06 05:36:56,53.11,70.59,36.79,42.072188,-78.567401,overheat
189,38,2025-04-03 02:23:07,84.89,42.48,35.0,42.327096,-78.41131,overheat
190,27,2025-04-17 13:59:05,96.81,96.05,34.83,42.49914,-78.707234,low_battery
191,27,2025-04-17 04:57:19,35.81,23.66,38.77,42.386243,-78.600632,
192,50,2025-04-11 01:27:32,77.41,25.68,28.58,42.316428,-78.568733,overheat
193,42,2025-04-01 14:01:23,35.37,23.99,44.48,42.312727,-78.501428,overheat
194,48,2025-04-09 12:23:23,85.8,86.58,28.68,42.108786,-78.638523,overheat
195,37,2025-04-09 16:12:52,83.58,67.53,40.08,42.104374,-78.863758,
196,22,2025-04-05 16:00:05,91.82,72.45,36.56,42.281946,-78.545496,low_battery
197,46,2025-04-07 23:50:08,84.71,25.74,38.24,42.183439,-78.831377,
198,9,2025-04-01 13:31:31,75.2,57.97,26.6,42.401565,-78.430083,
199,48,2025-04-08 03:41:05,26.38,47.28,36.76,42.396286,-78.613539,low_battery
200,26,2025-04-01 09:29:24,32.05,32.01,41.61,42.086224,-78.514169,
201,28,2025-04-10 12:29:01,66.2,35.54,32.59,42.458882,-78.890114,overheat
202,7,2025-04-14 10:33:40,82.48,78.6,31.51,42.105842,-78.889308,overheat
203,29,2025-04-14 22:54:37,54.23,73.7,38.75,42.305942,-78.841892,low_battery
204,40,2025-04-08 18:33:37,29.37,36.09,37.65,42.360071,-78.850389,
205,9,2025-04-03 08:31:07,53.13,82.18,40.88,42.4252,-78.831112,
206,49,2025-04-17 02:56:56,55.38,90.9,42.97,42.418177,-78.810461,
207,11,2025-04-11 14:15:07,33.55,76.3,30.69,42.491664,-78.797834,low_battery
208,40,2025-04-17 03:46:50,35.33,40.93,32.49,42.312891,-78.805807,low_battery
209,16,2025-04-01 05:11:12,29.52,44.04,39.45,42.341257,-78.571423,low_battery
210,16,2025-04-11 14:40:50,52.79,76.18,38.38,42.028606,-78.815699,overheat
211,8,2025-04-14 10:47:18,65.64,39.53,35.2,42.235015,-78.709922,
212,45,2025-04-04 03:26:01,66.64,55.73,25.26,42.398649,-78.503697,
213,37,2025-04-01 06:16:52,29.6,52.06,31.19,42.17641,-78.653618,overheat
214,12,2025-04-15 06:10:39,78.45,69.1,38.55,42.054279,-78.667708,overheat
215,36,2025-04-04 06:19:17,37.68,60.09,27.21,42.056805,-78.749981,low_battery
216,45,2025-04-06 21:38:58,58.78,84.51,27.07,42.136383,-78.741244,
217,45,2025-04-02 09:13:49,47.38,85.43,29.92,42.162544,-78.683555,
218,17,2025-04-09 00:33:10,32.49,78.88,38.45,42.195664,-78.807854,
219,22,2025-04-01 01:06:28,93.98,92.83,25.41,42.458117,-78.794624,
220,4,2025-04-15 00:09:05,34.96,59.9,41.48,42.248828,-78.718232,low_battery
221,8,2025-04-14 23:24:37,30.26,38.02,38.82,42.485936,-78.547339,overheat
222,48,2025-04-09 03:26:05,29.54,43.36,28.68,42.131957,-78.636866,overheat
223,14,2025-04-10 23:18:36,32.4,55.77,27.92,42.383581,-78.423201,
224,9,2025-04-02 05:44:08,36.14,57.61,41.18,42.089816,-78.483513,
225,15,2025-04-12 00:38:31,33.58,23.22,44.47,42.381011,-78.791859,low_battery
226,20,2025-04-07 07:03:50,28.42,88.37,27.98,42.475994,-78.769559,low_battery
227,27,2025-04-08 02:57:18,22.03,30.43,26.71,42.029911,-78.437789,overheat
228,25,2025-04-01 23:18:04,92.66,94.15,34.05,42.387328,-78.70485,low_battery
229,19,2025-04-14 08:27:37,20.73,93.04,41.66,42.084266,-78.692087,low_battery
230,44,2025-04-06 13:15:18,47.89,64.15,26.51,42.015845,-78.488224,
231,37,2025-04-10 23:05:24,43.5,91.11,42.34,42.351556,-78.524832,overheat
232,38,2025-04-02 04:29:56,74.18,47.71,30.54,42.155573,-78.783211,overheat
233,25,2025-04-01 22:44:40,53.64,54.57,30.32,42.458344,-78.663452,low_battery
234,2,2025-04-17 13:43:33,68.9,73.03,26.78,42.193197,-78.661282,overheat
235,36,2025-04-08 09:39:50,85.05,25.39,25.21,42.117137,-78.480206,overheat
236,39,2025-04-17 19:48:29,93.98,76.38,27.0,42.039737,-78.735154,overheat
237,23,2025-04-01 06:55:30,84.16,81.51,31.91,42.440848,-78.849146,low_battery
238,4,2025-04-11 01:31:32,20.39,77.88,32.02,42.292685,-78.559389,low_battery
239,15,2025-04-06 00:06:41,96.53,58.71,38.22,42.16287,-78.662538,overheat
240,10,2025-04-16 17:15:42,91.52,74.9,25.02,42.394844,-78.618289,overheat
241,50,2025-04-03 22:33:45,60.46,90.37,37.81,42.481209,-78.857684,low_battery
242,27,2025-04-10 17:49:32,98.57,62.89,34.43,42.203157,-78.690834,low_battery
243,35,2025-04-11 04:43:40,69.41,94.83,29.82,42.243074,-78.619277,overheat
244,49,2025-04-09 05:35:56,58.54,24.59,26.48,42.121083,-78.604076,low_battery
245,43,2025-04-15 00:18:36,55.58,57.12,30.82,42.206865,-78.567392,
246,45,2025-04-10 19:02:02,63.48,22.74,36.07,42.162428,-78.546524,
247,8,2025-04-03 06:32:35,39.26,85.59,31.22,42.031505,-78.600154,
248,41,2025-04-05 17:30:23,60.98,35.67,42.03,42.440066,-78.846345,low_battery
249,26,2025-04-01 21:16:49,45.17,23.31,33.55,42.357285,-78.722044,
250,10,2025-04-02 02:34:31,52.15,24.66,38.42,42.190758,-78.887728,low_battery
251,50,2025-04-06 22:07:07,82.71,98.98,36.13,42.304385,-78.494111,overheat
252,18,2025-04-03 12:18:20,56.62,30.12,40.53,42.399325,-78.824869,low_battery
253,4,2025-04-04 19:10:38,76.3,45.05,34.21,42.31141,-78.505753,overheat
254,42,2025-04-04 23:50:26,54.18,75.3,37.53,42.453907,-78.850044,
255,22,2025-04-05 23:14:15,32.71,22.09,28.28,42.176511,-78.487881,overheat
256,1,2025-04-08 17:36:59,89.31,78.96,41.31,42.453139,-78.574649,low_battery
257,44,2025-04-13 23:33:10,98.51,87.44,42.28,42.39585,-78.655047,overheat
258,32,2025-04-13 00:56:32,99.85,47.09,41.63,42.198367,-78.567856,
259,29,2025-04-15 20:25:01,72.3,61.45,25.94,42.099362,-78.430348,low_battery
260,24,2025-04-04 11:12:33,45.11,32.79,32.5,42.018228,-78.473835,overheat
261,37,2025-04-15 09:16:29,82.82,52.44,30.16,42.488808,-78.886268,low_battery
262,29,2025-04-12 20:26:47,71.59,87.81,28.14,42.163166,-78.715295,overheat
263,34,2025-04-12 10:40:36,24.02,20.21,40.03,42.42732,-78.720649,
264,20,2025-04-12 00:08:25,94.38,33.17,25.86,42.224677,-78.86411,
265,34,2025-04-16 03:04:22,47.34,85.67,29.68,42.045111,-78.45251,
266,25,2025-04-12 06:49:41,63.1,99.5,44.84,42.169137,-78.750369,low_battery
267,38,2025-04-07 13:52:43,84.24,56.03,33.37,42.483848,-78.519838,low_battery
268,1,2025-04-15 07:48:53,75.85,52.84,37.99,42.116351,-78.770193,overheat
269,47,2025-04-14 07:54:14,20.04,99.41,27.92,42.306229,-78.662167,low_battery
270,37,2025-04-02 12:45:09,82.57,34.97,29.72,42.372323,-78.413404,low_battery
271,20,2025-04-10 12:18:48,43.33,55.44,41.6,42.40606,-78.414039,
272,6,2025-04-07 00:11:28,90.79,68.13,25.54,42.135533,-78.81119,
273,31,2025-04-08 15:00:09,34.3,73.46,42.92,42.05179,-78.798245,overheat
274,11,2025-04-15 23:32:59,67.75,42.35,26.63,42.361098,-78.860295,
275,50,2025-04-01 21:36:20,79.48,45.42,33.31,42.409307,-78.853379,low_battery
276,12,2025-04-01 08:59:59,56.14,23.54,27.23,42.299749,-78.818336,low_battery
277,43,2025-04-15 20:04:09,64.22,22.44,36.58,42.29173,-78.617924,overheat
278,11,2025-04-02 05:23:41,84.84,35.82,35.71,42.313065,-78.608228,
279,1,2025-04-12 22:19:09,38.67,71.24,28.69,42.089162,-78.714147,low_battery
280,45,2025-04-15 14:21:59,26.45,60.87,36.09,42.114024,-78.718816,overheat
281,12,2025-04-10 03:13:42,86.3,49.07,37.04,42.35776,-78.750796,low_battery
282,38,2025-04-11 18:58:43,29.42,67.48,37.34,42.033435,-78.664518,overheat
283,13,2025-04-03 15:10:41,70.63,76.96,38.35,42.298946,-78.620473,overheat
284,22,2025-04-15 19:01:36,72.48,61.78,43.39,42.329362,-78.508617,overheat
285,37,2025-04-13 15:12:52,76.76,58.76,38.87,42.079914,-78.785109,
286,18,2025-04-17 14:36:06,87.82,72.96,35.6,42.197756,-78.811579,low_battery
287,8,2025-04-09 19:34:39,21.15,28.95,36.07,42.337855,-78.509315,overheat
288,45,2025-04-11 05:29:13,52.8,84.23,33.54,42.410759,-78.400244,overheat
289,50,2025-04-05 21:16:19,44.64,29.71,29.85,42.121386,-78.657158,
290,24,2025-04-17 21:08:28,88.56,87.98,32.75,42.213166,-78.427223,overheat
291,34,2025-04-05 05:22:38,94.08,96.89,36.67,42.126024,-78.783773,low_battery
292,34,2025-04-04 08:15:38,66.04,57.14,42.67,42.040898,-78.618878,low_battery
293,32,2025-04-13 01:26:56,36.24,30.32,26.04,42.422867,-78.416311,low_battery
294,16,2025-04-14 16:21:43,97.72,29.85,34.23,42.249748,-78.511101,overheat
295,35,2025-04-04 02:01:52,87.5,73.31,33.68,42.00635,-78.611071,low_battery
296,37,2025-04-02 13:57:41,21.13,40.47,26.88,42.070493,-78.832647,overheat
297,34,2025-04-03 11:49:22,80.13,48.73,41.59,42.140702,-78.535188,low_battery
298,7,2025-04-01 10:46:57,78.56,48.35,26.0,42.238072,-78.851563,
299,35,2025-04-12 14:27:30,49.8,78.58,40.28,42.074767,-78.847708,low_battery
300,27,2025-04-05 00:34:28,24.61,24.28,33.03,42.464031,-78.490272,low_battery
301,49,2025-04-13 23:05:24,81.63,54.87,26.67,42.361541,-78.458406,low_battery
302,34,2025-04-05 23:21:23,21.28,89.36,30.04,42.299358,-78.477548,
303,23,2025-04-05 03:07:55,70.27,63.41,30.77,42.042305,-78.519616,
304,33,2025-04-08 14:39:50,77.97,81.11,42.27,42.222992,-78.574573,
305,26,2025-04-01 07:25:59,36.24,81.89,36.39,42.212377,-78.423711,low_battery
306,40,2025-04-07 03:05:10,73.92,94.95,36.25,42.433128,-78.499657,overheat
307,7,2025-04-01 18:54:18,54.62,99.05,40.75,42.026383,-78.689111,
308,36,2025-04-04 04:15:49,34.92,41.32,34.95,42.044434,-78.898649,low_battery
309,11,2025-04-15 19:23:42,87.15,90.85,44.38,42.226478,-78.78442,low_battery
310,6,2025-04-10 18:58:37,93.71,95.9,29.2,42.044964,-78.565508,overheat
311,47,2025-04-11 11:51:27,88.52,65.91,33.85,42.024112,-78.597249,overheat
312,34,2025-04-03 12:23:54,77.62,60.55,31.83,42.000114,-78.619376,overheat
313,6,2025-04-12 11:05:01,34.18,64.86,36.61,42.316799,-78.516075,
314,45,2025-04-08 10:45:02,73.18,21.88,31.31,42.191312,-78.539343,
315,32,2025-04-08 06:33:40,66.45,88.92,39.88,42.009463,-78.799436,
316,50,2025-04-15 04:55:14,55.62,40.95,40.27,42.427233,-78.760353,
317,9,2025-04-17 19:09:09,68.6,86.73,34.41,42.085157,-78.742236,
318,42,2025-04-09 17:33:31,95.08,62.26,36.03,42.471773,-78.473895,overheat
319,16,2025-04-14 14:59:14,60.12,76.12,42.06,42.369646,-78.81822,
320,7,2025-04-07 07:00:56,65.56,21.07,43.83,42.32441,-78.8675,
